(seguindo o Banco de dados)			(audiovisual, bibliográfico, cartográfico, textual...)	(artigo, fotografia...)	(impresso, datilografado, manuscrito, digital...)		(/palavras chave)		Cidade/ Instituição/ em que foi publicado		Orientador; Coorientador	Recorte temporal	Recorte Espacial	Bairro/Local	
72	O PLANO DIRETOR E A CAPITAL BRASILEIRA DA CULTURA 2007: ESTRATÉGIAS DE CONSENSO E EMPREENDEDORISMO URBANO EM SÃO JOÃO DEL-REI/MG	Denis Pereira Tavares	Textual	Artigo	Digital	Filosofia	-	2008	São João del-Rei (UFSJ)	A pesquisa analisa o atual esforço de reconfiguração material e simbólica do território urbano sanjoanense, recentemente encetado pelas elites econômicas e políticas locais, examinando suas singularidades e similitudes vis-à-vis as características típicas de iniciativas de empresariamento urbano que têm tido lugar em um sem-número de outras cidades do Brasil e do mundo.	Eder Jurandir Carneiro	2007 - 2008	São João del- Rei	-	https://drive.google.com/file/d/1Lw3xuws57InapfK2AoZ1lZZuKcjGDoLQ/view?usp=sharing
73	O PROCESSO DE PATRIMONIALIZAÇÃO DE SÃO JOÃO DEL-REI: CONFLITOS EM TORNO DE UM PATRIMÔNIO EM “PEDRA E CAL”	Denis Pereira Tavares	Textual	Artigo	Digital	Ciências Sociais	-	-	São João del-Rei (UFSJ)	A pesquisa, desenvolvida no âmbito do Núcleo de Investigações em Justiça Ambiental (NINJA) propõe como estudo de caso descrever e explicar as tensões presentes no processo de constituição das políticas de tombamento do conjunto de monumentos urbanos de São João del-Rei entre os anos de 1938 a 1947, em uma conjuntura de transformação no perfil populacional, industrial e urbano da cidade.	Eder Jurandir Carneiro	1938-1947	São João del- Rei	Matozinhos, Fábricas, Tijuco	https://drive.google.com/file/d/13bEHYdSY67UJV2a5f22tXHUCmPgkjRAa/view?usp=sharing
74	O TOMBAMENTO DO CONJUNTO ARQUITETÔNICO E URBANÍSTICO DE SÃO JOÃO DEL-REI: NEGOCIAÇÃO E CONFLITO ENTRE PROJETOS DE APROPRIAÇÃO E USO DO PATRIMÔNIO CULTURAL (1938-1967)	Denis Pereira Tavares	Textual	Dissertação	Digital	História	São João del-Rei; Iphan; identidade nacional; patrimônio cultural	2012	Belo Horizonte (UFMG)	O objetivo deste trabalho é descrever e elucidar as tensões decorrentes do tombamento do conjunto arquitetônico e urbanístico de São João del-Rei entre os anos de 1938 e 1967, em uma conjuntura de transformação acelerada da paisagem urbana da cidade.	Regina Helena Alves da Silva	1938-1967	São João del- Rei	-	https://drive.google.com/file/d/1NV8jKKMN5pEiiNlOWiaEhEKaZY93zdyA/view?usp=sharing
75	O TOMBAMENTO DOS BENS ARQUITETÔNICOS E URBANÍSTICOS DE SÃO JOÃO DEL-REI: EMBATES EM TORNO DA PRESERVAÇÃO E DO PROGRESSO	Marcella Franco de Andrade	Textual	Dissertação	Digital	Arquitetura e Urbanismo	São João del-Rei; patrimônio cultural; identidade nacional	2013	São Paulo (UPM)	Este trabalho aborda o processo de tombamento arquitetônico e urbanístico instituído em São João del-Rei, considerando as deliberações e a abrangência dos atos de salvaguarda em nível federal, estadual e municipal, assim como a reação da população perante o patrimônio dentro de um contexto de transformações urbanas associado à busca pelo progresso econômico.	José Geraldo Simões Júnior	séc XIX -  1983	São João del- Rei	-	https://drive.google.com/file/d/1Zm-XxYSw1ArQRd8HqGkoGiz9s_djrkc1/view?usp=sharing
76	O TURISMO COMO IMPULSIONADOR DO DESENVOLVIMENTO REGIONAL: ANÁLISE NO CAMPO DAS VERTENTES (MG), BRASIL	Thiago de Sousa-Santos e Raquel da Silva-Pereira	Textual	Artigo 	Digital	Turismo	desenvolvimento regional e local; regionalização; planejamento do desenvolvimento	2020	 Santiago (EURE)	Este artigo apresenta a pesquisa realizada com o objetivo de analisar os resultados gerados pelas ações de fortalecimento do turismo para o desenvolvimento regional, a partir da dimensão organizacional  proposta pelo modelo de Tomazzoni (2007). Foram investigados os municípios de Prados, São João Del Rei e Tiradentes,	-	2014 - 2017	Prados, São João del- Rei, Tiradentes e região	-	https://drive.google.com/file/d/1plELJvYIybzbaNR7YUamn8CcbgVIqhcS/view?usp=sharing
77	ORIENTAÇÕES PRÁTICAS PARA A SEGURANÇA JURÍDICA DA POSSE NO ASSENTAMENTO ALTO DAS MERCÊS, SÃO JOÃO DEL-REI/MG	Sabrina kellen Pereira	Textual	TFG	Digital	Arquitetura	segurança jurídica da posse; direito à moradia; função social	2016	São João del-Rei (UFSJ)	Faz levantamento e estudo sobre a ocupação do Alto das Mercês e a segurança jurídica de suas moradias. Aplica questionários junto aos moradores	Márcia Hirata	2015-2016	São João del- Rei	Alto das Mercês	https://drive.google.com/file/d/1Cd3twkjLHa8tWUuUroI-Hltj3sNxLDJy/view?usp=sharing
78	OS SINOS, OS CARROS DE BOIS E A LOCOMOTIVA EM SÃO JOÃO DEL REI: NOTAS SOBRE A VIDA COTIDIANA EM FINS DO SÉCULO XIX 	Regina Horta Duarte	Textual	Capítulo de Livro 	Digital	HIstória	-	1997	Belo Horizonte (UFMG)	Aborda três importantes símbolos do séc XIX da cidade de São João del- Rei, os sinos, os carros de boi e a ferrovia através do olhar do visitante.	-	séc XIX	-	-	https://drive.google.com/file/d/13qfmbhP5Bnm5tWmpGH37-sbC8wNqh5wl/view?usp=sharing
79	PERMANÊNCIAS E TRANSFORMAÇÕES NAS CIDADES-MONUMENTO: TEATRO SOCIAL E JOGOS DE PODER (SÃO JOÃO DEL-REI, 1937- 1967)	Honório Nicholls Pereira	Textual	Dissertação 	Digital	Arquitetura e Urbanismo	desenvolvimento regional e local; regionalização; planejamento do desenvolvimento	2009	Salvador (UFBA)	O objetivo do trabalho é analisar como se deu o processo de construção da cidade de São João del-Rei durante a fase heróica do SPHAN (1937-67), enfocando a dinâmica entre permanências e transformações urbanas. 	Marco Aurélio A. de Filgueiras Gomes	1937- 1967	São João del- Rei	Centro, Fábricas, Matosinhos, Dom Bosco, Marçal, Tijuco, Bonfim, Senhor dos Montes,  etc	https://drive.google.com/file/d/1NWb8kQgoQdZ0GFsXoIMhjl9kUtOhV0u6/view?usp=sharing
80	POLÍTICA SOCIAL DE ESPORTE E LAZER:OS ESPAÇOS PÚBLICOS DA CIDADE DE SÃO JOÃO DEL REI.	Renato Sampaio Sadi	Textual	Cap. de livro	Digital	Políticas Públicas	-	2011	-	Neste texto buscamos situar os condicionantes teóricos e conjunturais com as atitudes progressistas ao redor da política social. Do geral para o específico, apresentamos uma discussão sobre a categoria trabalho no sentido de evidenciar complexidades e demonstrar o quão longe estamos do esporte e do lazer como direitos sociais efetivamente cumpridos.	-	2003-2010	São João del- Rei	-	https://drive.google.com/file/d/1SMvGFH4XYFEAyQ7_BxyG3xZS2EEJiEjL/view?usp=sharing
81	PROGRAMA “MINHA CASA, MINHA VIDA” (FAIXA 1) EM SÃO JOÃO DEL REI, MG: UMA ANÁLISE CRÍTICA	Ana Luiza Aureliano Silva	Textual	Artigo	Digital	Arquitetura	política habitacional; programa Minha Casa, Minha Vida; São João del Rei; direito à cidade; limites da política	2016	Maringá (UEM)	Este trabalho buscou identificar e analisar os empreendimentos produzidos pelo Programa “Minha Casa, Minha Vida” (PMCMV) em São João del Rei (SJDR), MG, na modalidade viabilizada com recursos do Fundo de Arrendamento Residencial (FAR) – famílias com renda de até R$ 1.600 mensais, em que está mais concentrado o déficit habitacional –, verificando que o PMCMV, também em SJDR, vem garantindo à essa parcela da população o direito à moradia, mas não o direito à cidade, deixando a desejar enquanto uma política habitacional ao reproduzir imensas áreas isoladas e monótonas e ocupações destituídas de qualquer preocupação com uma alternativa mais humana e sustentável de implantação urbanística e de construção arquitetônica.	Daniela Abritta Cota	-	São João del- Rei	Conjunto Risoleta Neves I	https://drive.google.com/file/d/1ts05iDAGQXwAa6TP_42SCX2vjoQaGgEZ/view?usp=sharing
82	QUANTAS HISTÓRIAS TEM SÃO JOÃO DEL-REI? MEMÓRIAS DE PROFESSORES DE HISTÓRIA E SUAS RELAÇÕES COM O PATRIMÔNIO CULTURAL LOCAL	Lucas Lopes Cardoso	Textual	Dissertação	Digital	História	memória; patrimônio cultural; saberes docentes	2015	São João del-Rei (UFSJ)	Este estudo se enquadra no domínio científico do Ensino de História e da Educação Patrimonial, com o objetivo de investigar, a partir de entrevistas com roteiro semiestruturado, dirigidas a um grupo de professoras do Ensino de História nas escolas da rede pública (estadual e municipal) de São João del-Rei, as suas lembranças, pertencimentos e esquecimentos referentes ao patrimônio cultural local.	Cássia R. Louro Palha	-	São João del- Rei	-	https://drive.google.com/file/d/1IkFpNuM0qZgvTbmquO1tARSj8QNyF07h/view?usp=sharing
83	REAPROPRIAÇÃO URBANA. SÃO JOÃO DEL-REI: TEATRO MUNICIPAL E CÓRREGO DO LENHEIROS 	Taiene Nascimento	Textual	TFG	Digital	Arquitetura	-	2019	São João del-Rei (UFSJ)	Faz levantamento histórico e analisa as relações e entre a cidade, o Teatro Municipal e o Córrego do Lenheiros	Rafael Silva Brandão	Século XIX até dias atuais	São João del- Rei	Centro	https://drive.google.com/file/d/1QWpRxjbMYOI5HqzXDT32yZqquXmfJesL/view?usp=sharing
84	REPRESENTAÇÕES DA MODERNIDADE DE SÃO JOÃO DEL-REI  	Denis Pereira Tavares	Textual	Artigo 	Digital	História	São João del-Rei; modernidade; espaço urbano	2013	Ponta Grossa (UEPG)	Aborda as representações, leituras e interpretações que os grupos sociais locais – fundamentalmente aqueles reunidos nos espaços dos periódicos e da Associação Comercial de São João del-Rei – fizeram da cidade de São João del-Rei, ao longo dos anos de 1930 e de 1950, em uma conjuntura de transformações aceleradas na sua paisagem urbana. Aponta os principais elementos que conformam uma espécie de imaginário urbano e que conduziram um projeto político específico de apropriação e de uso da cidade.	-	1930-1950	São João del- Rei	-	https://drive.google.com/file/d/1HG0ZIUE4ypMnKGq8XX2cdIrfH09-wdIM/view?usp=sharing
85	SÃO JOÃO DEL-REI- TENSÕES E CONFLITOS NA ARTICULAÇÃO ENTRE O PASSADO E O PROGRESSO	Ralf José Castanheira Flôres	Textual	Dissertação	Digital	Arquitetura	representações sociais; São João del-Rei; identidade nacional; cidades históricas; patrimônio histórico e cultural	2007	São Carlos (USP)	Trata da inserção da cidade de São João del-Rei, Minas Gerais no processo de construção da identidade Nacional, através da ação do SPHAN.  	Fábio Lopes de Souza Santos	Século XIX e XX	São João del- Rei	Bonfim, Tejuco, Centro Histórico, etc	https://drive.google.com/file/d/1c8rYXhGZgvvNJL2qiXJoB-Vwsv_Q-Ki0/view?usp=sharing
86	SERRA DO LENHEIRO, UM CONJUNTO DE GEOSSÍTIOS E SUAS INTER-RELAÇÕES CONSTITUINDO UM RELEVANTE GEOHERITAGE  	Arlon Cândido Ferreira	Textual	Dissertação	Digital	Geografia	geodiversidade; lugares de interesse geoconservacionista; Serra do Lenheiro	2017	São João del-Rei (UFSJ)	Considerando o “quadrinômio” Geodiversidade, Geoconservação, Geoturismo e Geopatrimônio, o estado de Minas Gerais é destaque nesse cenário.  Nesta região se destaca a Serra do Lenheiro, localizada nas adjacências da cidade de São João del Rei. Neste contexto, o objetivo do trabalho foi reconhecer, caracterizar, descrever e identificar Lugares de Interesse Geoconservacionistas .	Leonardo Cristian Rocha;  Múcio do Amaral Figueiredo 	2013-2016	Serra do Lenheiro	Serra do Lenheiro	https://drive.google.com/file/d/1eFqT-AklCSavfLGl_WH3OaFaH8wgl2nx/view?usp=sharing
87	TERMINAL RODOVIÁRIO DE SÃO JOÃO DEL-REI: UMA DISCUSSÃO SOBRE A REQUALIFICAÇÃO ARQUITETÔNICA E MOBILIDADE URBANA  (ACHEI NO DRIVE O RESUMO)	Fernanda Dias da Silva	Textual	TFG	Digital	Arquitetura	-	2016	São João del-Rei (UFSJ)	Faz entrevistas com usuários e funcionários do terminal rodoviário sobre usos, trajetos, entorno, etc.	Marcella Franco de Andrade	2015-2016	São João del- Rei	Fábricas	https://drive.google.com/file/d/1v2IA9rEAP14pkvc0ZdSz0XGmgkctzNp5/view?usp=sharing
88	TOMBAMENTO E VALORES DO CONJUNTO ARQUITETÔNICO DE SÃO JOÃO DEL REI E O INTERIOR DE SEUS MONUMENTOS RELIGIOSOS	Elis Marina Mota	Textual	Artigo	Digital	Conservação e Restauração de Bens Culturais Móveis	São João del Rei; patrimônio cultural; arquitetura interior 	2017	Uberlândia (MAS)	Este artigo apresenta a contextualização e os valores para o tombamento do conjunto arquitetônico e urbanístico de São João del Rei e do destaque conferido, por meio de tombamentos isolados, em monumentos religiosos pertencentes ao núcleo histórico, sendo estes a Igreja de São Francisco de Assis, Igreja de Nossa Senhora do Carmo e a Igreja Matriz de Nossa Senhora do Pilar.	Adriana Sanajotti Nakamuta	1920 - 2016	São João del- Rei	Centro Histórico	https://drive.google.com/file/d/1LRXtj2hVxxxn3b-eBvT9a0EG0QBCoCUe/view?usp=sharing
89	TRABALHO E COMBATE À VADIAGEM: REPRESENTAÇÕES DA MÃO-DE-OBRA NOS DISCURSOS DOS PERIÓDICOS DE SÃO JOÃO DEL-REI (1871-1888)	Flávio Raimundo Giarola	Textual	Artigo	Digital	História	mão de obra; vadiagem; representações	2011	Belo Horizonte (UFMG)	O artigo tem como proposta entender as representações em torno de nacionais, negros e imigrantes, decorrentes de uma mudança da visão do trabalho no Brasil a partir de meados do século XIX. Para isso, utilizamos como fonte a imprensa da cidade de São João del Rei, buscando demonstrar como as representações em torno das alternativas de mão de obra no período de crise do escravismo tenderam a valorizar os imigrantes de origem europeia como trabalhadores natos, enquanto negros e nacionais foram tidos como vadios. Por conta disto, os periódicos passaram a exigir que o combate à vadiagem fosse política prioritária dos governos provincial e imperial.	-	1871-1888	São João del- Rei	-	https://drive.google.com/file/d/1CTWxg8SXX-57_yr5v4vcPAhBKiHkp7wc/view?usp=sharing
90	TRANSFORMAÇÕES NO PERFIL AGRÍCOLA NA MICRORREGIÃO DE SÃO JOÃO DEL-REI: AS DINÂMICAS DA PRODUÇÃO DE SOJA E TRIGO	Jaqueline do Carmo Silva Gonzaga	Textual	Dissertação	Digital	Geografia	soja; trigo; circuito espacial de produção; círculos de cooperação	2019	São João del-Rei (UFSJ)	Esta dissertação de mestrado tem como objetivo analisar e explicar as mudanças no perfil produtivo e no uso agrícola do território através do circuito espacial produtivo de grãos (soja e trigo) na Microrregião de São João del-Rei e avaliar a participação desta Microrregião na produção de grãos no contexto estadual e nacional e sua inserção econômica	Márcio Roberto Toledo	2005-2015	São João del- Rei	-	https://drive.google.com/file/d/1sEUmVQd8Qy5DsH2bWqXQQCGfe2SgtQ_b/view?usp=sharing
91	TRANSIÇÃO: (ENTRE) OS SENTIDOS DA FORMA-CONTEÚDO. TERRITORIALIDADES E TEMPORALIDADES EM SÃO JOÃO DEL-REI	Adriana G Nascimento e Marcelo José Silva	Textual	Artigo	Digital	Arquitetura e Urbanismo	transição; forma-conteúdo; territorialidade; temporalidade; urbano	2013	-	O presente texto procura desenvolver algumas considerações acerca do processo de transformação dos modos de ocupação urbana na cidade de São João del-Rei, em Minas Gerais/Brasil, desde sua implantação original no século XVIII até o início do século XXI. A estrutura ora apresentada procura orientar as questões levantadas pelo tema em debate	-	séc. XVIII ao início do séc. XXI	São João del- Rei	Centro, Guarda- Mor	https://drive.google.com/file/d/1NNBf7AYD4rO8GbZr316FTRNK-iHcNP7P/view?usp=sharing
92	TREM DA MEMÓRIA : UM ESTUDO SOBRE O COMPLEXO FERROVIÁRIO DE SÃO JOÃO DEL-REI, MG.	Daniella Cristiane Santos Oliveira	Textual	Dissertação	Digital	Turismo	memória ferroviária; transporte; patrimônio cultural; turismo; preservação	2019	Ouro Preto (UFOP)	Este estudo apresenta a importância do transporte ferroviário desde a sua criação e chegada no Brasil, os processos que levaram a sua privatização e consequente declínio, através dos conceitos de memória, patrimônio, e memória ferroviária. Objetiva-se compreender e discutir qual a percepção da comunidade envolvida, assim como analisar as medidas utilizadas para a manutenção da memória ferroviária	-	2018-2019	São João del- Rei	Matozinhos,  Fábricas, Colônia do Marçal	https://drive.google.com/file/d/1HMOEGE6Mg4f-vV6cxNiU4v81PGUJMW3I/view?usp=sharing
93	TURISMO E PATRIMÔNIO HISTÓRICO-CULTURAL EM SÃO JOÃO DEL REI/MG	Silvana Toledo de Oliveira	Textual	Artigo	Digital	Turismo	turismo cultural; patrimônio cultural; São João Del Rei	2007	São Paulo (ECA)	O presente artigo apresenta brevemente os antecedentes históricos de São João Del Rei e relaciona seu patrimônio histórico e cultural com a atividade turística, hoje uma de suas principais atividades econômicas do município.	-	2006-2007	São João del Rei	Centro Histórico	https://drive.google.com/file/d/1nUC5X9MDTjwWN98NEamtdmPUBxgZ_7Hm/view?usp=sharing
94	URBANOGRAFIA E CRIATIVIDADE COLETIVA: ESPAÇO, TEMPO E MEMÓRIA NA CONSTITUIÇÃO DE PROCESSOS CRIATIVOS  	Thiago De Andrade Morandi	Textual	Dissertação	Digital	Interdisciplinar (Artes, Urbanidades e Sustentabilidade)	urbanografia; processos criativos; arte urbana; ubiquidade	2019	São João del- Rei (UFSJ)	Aborda como os aspectos de espaço, tempo e memória contribuem para a constituição de processos criativos de urbanografia e criatividade coletiva, com foco em estudos que envolvem camadas de memória da cidade de São João del-Rei.	 Flávio Luiz Schiavoni; Zandra Coelho de Miranda Santos	1. a pré-história; 2. o surgimento da cidade; 3. os dias atuais (leia-se as últimas décadas); e 4. a contemporaneidade influenciada pelo mundo virtual.	Todo o espaço urbano de São João del Rei	-	https://drive.google.com/file/d/18aCRzEEV6hM1Js5uKmPdhi3rqis54rXv/view?usp=sharing
95	VULNERABILIDADE SOCIAL ANTES E DEPOIS DA OCORRÊNCIA DE DESASTRE EM ÁREA URBANA DA BACIA DO CÓRREGO DO LENHEIRO	Thiago Gonçalves Santos	Textual	Artigo	Digital	Geografia	análise multicritério; mapas temáticos; análise hierárquica de processos	2020	Barra do Garças (UFMT)	Este artigo apresenta-se a metodologia para mapear e modelar áreas suscetíveis às inundações e indicar o grau de vulnerabilidade da população residente em área urbana da Bacia do Córrego do Lenheiro.	Silvia Elena Ventorini	-	São João del-Rei	-	https://drive.google.com/file/d/1dgCUzCdbATJfv0_5pq_yWlbYcm-KcI-E/view?usp=sharing
96	A GÊNESE DO MERCADO NACIONAL E A  CIA. INDUSTRIAL SANJOANENSE (C.1890-C.1913)	Afonso de Alencastro Graça Filho 	Textual	Artigo	Digital	Geografia	companhia industrial São Joanense; mercado nacional; indústria têxtil no Brasil; mercado interno; desequilíbrios regionais no Brasil	2021	Brasília (UNB)	Esse artigo tem como objetivo discutir o conceito de mercado nacional por meio de informações de empresas fabris e comerciais publicadas pela Companhia Lloyd’s, em 1913.	-	(c.1890-c.1913)	São João del-Rei	-	https://drive.google.com/file/d/1u-pvgS9PiKdRpAGa1IjmKwMJy2J3cYrO/view?usp=sharing
97	O DIREITO À MORADIA X PROGRAMA MINHA CASA MINHA VIDA: ESPACIALIZAÇÃO DOS MARGINALIZADOS DAS CIDADES DE SÃO JOÃO DEL REI E BARBACENA	Lorran Kahel Melquiades dos Santos;  Otávio Manoel Marchiori Carazza Vale	Textual	Artigo	Digital	Ciências Sociais	marginalização; direito; espaço; São João del-Rei; Barbacena	2020	Juiz de Fora (UFJF)	A Constituição Federal vigente, preconiza como direito fundamental o acesso à condições dignas de moradia, dessa forma, ao longo dos anos, foram desenvolvidos inúmeros programas governamentais objetivando conceder adito a esse direito, o mais recente, dentre eles é conhecido como o “Programa Minha Casa Minha Vida”. Historicamente, as residências de interesse social são situadas nas bordas dos centros urbanos, em zonas de baixo custo de terra e incorporação. Objetiva-se com isso, verificar se o referido programa repete as ações dos anteriores prejudicando ou não o real sentido do direito a condições dignas de habitar e acessar os serviços públicos.	-	-	São João del-rei; Barbacena	-	https://drive.google.com/file/d/1ix6pr2wftGE-AnDiY92HuoaA30Hvn-n6/view?usp=sharing
98	ANÁLISE CRÍTICA DO ATUAL PROCESSO DE EXPANSÃO URBANA EM SÃO JOÃO DEL-REI (MG) A PARTIR DO BAIRRO COLÔNIA DO MARÇAL	Rafael Begname Andrade; Marcio Toledo; Juliar de Souza Oliveira; André Ribeiro Barbosa 	Textual	Artigo	Digital	Geografia	espaço urbano; expansão urbana; São João del-Rei; Colônia do Marçal	2014	Alfenas (UNIFAL)	O processo de expansão urbana se dá por diferentes forças, mecanismos e agentes sociais que renovam o espaço urbano frequentemente, reconfigurando as funções e as formas para atender aos processos políticos e econômicos que emergem na estrutura sistêmica das relações sociais. Compreender quais forças, mecanismos e agentes dão movimento às transformações do espaço urbano constitui a ambição deste trabalho que a partir de uma realidade concreta se dedica a pensar estas questões. Nesse sentido, a escolha de São João del-Rei, especificamente do bairro Colônia do Marçal se apresenta como uma amostra de uma realidade maior, de um processo sócio-espacial que está concatenado à dinâmica capitalista de produção e consumo do espaço. Assim, nossa escolha não é aleatória, mas apresenta-se como tentativa de identificar e compreender as articulações das forças e dos agentes locais com a poderosa força do capital que dá movimento ao processo de expansão urbana deste município.	-	1970-2014	São João del-Rei	Colônia do Marçal	https://drive.google.com/file/d/1WCea6wGvrFnj4_UT26NSRQmQ_aD2wWh6/view?usp=sharing
99	BAPTISTA CAETANO DE ALMEIDA: UM MECENAS DO PROJETO CIVILIZATÓRIO EM SÃO JOÃO D’EL-REI NO INÍCIO DO SÉCULO XIX - A BIBLIOTECA, A IMPRENSA E A SOCIEDADE LITERÁRIA	Rosemary Tofani Motta	Textual	Dissertação	Digital	Biblioteconomia	iluminismo; civilização; biblioteca municipal Baptista Caetano de Almeida	2000	Belo Horizonte (UFMG)	Discute-se a institucionalização da Biblioteca Pública de São João d’El-Rei e apresenta-se a figura de Baptista Caetano de Almeida, seu criador, no contexto da Vila de São João d’El-Rei, no início do século XIX. Descreve-se de forma panorâmica, a sociedade brasileira desde o descobrimento até o final do século XVIII e o início do XIX, destacando-se principalmente, a sociedade mineradora e, especificamente a realidade da mesma no contexto de São João d’El-Rei. Expõe-se, sob um prisma histórico, os elementos relativos a livros e bibliotecas, imprensa e sociedades literárias daquela época. Indica-se os fundamentos teóricos e metodológicos da pesquisa e aponta-se as fontes primárias consultadas, destacando-se, dentre elas, as atas da Câmara municipal de São João d’El-Rei e o jornal “Astro de Minas”, este, no período de 1827 a 1839. Evidencia-se, como resultantes da pesquisa, a relação entre as instituições – biblioteca, imprensa e sociedade literária – e o contexto histórico-cultural. Revela-se, ainda, a significativa importância do papel de Baptista Caetano de Almeida, haja vista sua atuação na construção de um projeto civilizatório para aquela região. Destaca-se o caráter visionário daquele idealizador que, como partícipe do ideário iluminista, vislumbrou, naquelas instituições, uma forma de contribuir para o rompimento com a barbárie e a ignorância, construindo uma identidade nacional.	Alcenir Soares dos Reis	1827-1839	São João del-Rei		https://drive.google.com/file/d/17zaHc4drDXe0eb99faBTFtVMhPLJAc0J/view?usp=sharing
100	COMPADRIO E ESCRAVIDÃO: UMA ANÁLISE DO APADRINHAMENTO DE CATIVOS EM SÃO JOÃO DEL REI, 1730-1850	Silvia Maria Jardim Brugger	Textual	Artigo	Digital	História	compadrio; escravidão; sociabilidades; domínio senhorial	2004	Caxambu-MG (ABEP)	O compadrio foi, sem sombra de dúvidas, um importante elemento de constituição e/ou consolidação de laços de sociabilidade, na sociedade escravista brasileira. Nesta comunicação, analiso o padrão de escolha de padrinhos e madrinhas de cativos, tanto crianças quanto adultos, em São João del Rei, entre 1730 e 1850. Constato o predomínio de livres entre os indicados para exercerem estes papéis. A análise centra-se, primeiramente, em informações apresentadas em registros paroquiais de batismo. Posteriormente, procuro abordar alguns casos específicos, acompanhando a prática de apadrinhamento em algumas escravarias da região e cruzando variáveis, que possam interferir nas escolhas de padrinhos e madrinhas dos escravos. Nesta segunda parte do trabalho, torna-se fundamental a utilização de outras fontes, com o objetivo de complementar as informações contidas nos registros de batismo, como os inventários post-mortem e testamentos, tanto de proprietários dos cativos, quanto de padrinhos e madrinhas livres. A partir deste refinamento da abordagem, torna-se mais precisa a caracterização das práticas de apadrinhamento de escravos e, consequentemente, avança-se nas análises sobre os laços de sociabilidade entre a população cativa e suas relações com livres e libertos.	-	1730-1850	São João del-Rei	-	https://drive.google.com/file/d/1pE1BMxz4Qkm2tdY_jmQnmflA9vY0zpQO/view?usp=sharing
101	CRIANÇAS EXPOSTAS: UM ESTUDO DA PRÁTICA DO ENJEITAMENTO EM SÃO JOÃO DEL REI, SÉCULOS XVIII E XIX	Silvia Maria Jardim Brugger	Textual	Artigo	Digital	História	período colonial; período imperial; exposição de crianças; São João del-Rei	2006	Rio de Janeiro (UFRJ)	O fenômeno da exposição de crianças foi comum durante todo o período colonial e imperial brasileiros. Em função disto, em diversos locais, as Santas Casas de Misericórdia estabeleceram rodas para o recolhimento dos enjeitados. Antes disto, porém, ou nos locais em que não havia rodas, a prática era a exposição em casas particulares. Embora esta modalidade de exposição tenha sido mais difundida no Brasil, tanto cronológica como espacialmente, como destacou Bacellar, tem sido menos estudada pelos historiadores do que a primeira, em função, sobretudo, da maior disponibilidade documental oferecida ao pesquisador pelas Santas Casas. Para o estudo da exposição particular, dispõem-se principalmente de informações contidas em documentação serial, como registros paroquiais, listas nominativas e testamentos, por isto, as poucas análises a este respeito inserem-se em obras mais gerais sobre as relações familiares, que, ao reconstituírem seus laços, acabam deparando-se com o fenômeno do enjeitamento de crianças e se debruçando, em maior ou menor grau, sobre ele.	-	Séculos XVIII e XIX	São João del-Rei	-	https://drive.google.com/file/d/1e4YQxzKfI-Si0wBCphZrw6OEnno0AsRr/view?usp=sharing
102	LEGITIMIDADE, CASAMENTO E RELAÇÕES DITAS ILÍCITAS EM SÃO JOÃO DEL REI (1730-1850)	Silvia Maria Jardim Brugger	Textual	Artigo	Digital	História	relações conjugais; matrimônio; período escravista; São João del-Rei	2000	Belo Horizonte (UFMG)	Neste trabalho, discuto a caracterização, normalmente, atribuída à família mineira do período escravista, qual seja, a raridade das relações conjugais sancionadas pela Igreja e o predomínio de uniões ditas ilícitas. Trabalhando com informações de documentos diversos, mas especialmente dos registros paroquiais de batismo, de São João Del Rei, entre 1730 e 1850, tenho encontrado índices de legitimidade entre a população livre relativamente altos, embora declinantes no decorrer do período. Isto parece indicar que a raridade dos matrimônios não pode ser atribuída irrestritamente à população da Capitania/Província como um todo, durante um período tão longo e dispare quanto os séculos XVIII e XIX. Por outro lado, é fundamental considerar as diferenças de comportamento dos diversos grupos sociais, considerando a possibilidade de valores e projetos de vida diferenciados entre eles e observando as mudanças ocorridas ao longo do tempo. Esta abordagem processual, integrada às características específicas da região, permite uma melhor compreensão do comportamento conjugal daquelas pessoas e indica a necessidade de se matizar as generalizações concernentes à família mineira de então.	-	1730-1850	São João del-Rei	-	https://drive.google.com/file/d/15gcH0XbHrhm46ilFuvFDCW8lJAu2CkNe/view?usp=sharing
